,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,minutes,selected_by_percent,ict_index,clean_sheets,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_minutes,soccer_one_selected_by_percent,soccer_one_ict_index,soccer_one_clean_sheets,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
18,Nélson Semedo,Defender,Wolves,437,227928,437,4.3,3.84,,527,7.2,23.3,2,0,3.8,4.68,,,4.9,1.2233140870894579,0.3389090660505771,,0.8118061727826063,0.10359808917236167,0.8956057186656793,0.5479828010551501,-0.36961063547728645,1.0352618398225062,0.5386133705111377,0.36610575069087065
40,Matt Targett,Defender,Aston Villa,39,218659,39,3.5,3.24,,465,5.6,18.5,2,1,3.5,3.9599999999999995,,,4.8,0.8011667123659287,0.0750876373884511,,0.5383628147873993,-0.038401268638849226,0.4535586801468864,0.5479828010551501,1.5523646690046031,0.8689375895523611,0.26865775348386856,0.36197981351041425
24,Eric Dier,Defender,Tottenham,361,202335,361,1.5,4.44,100.0,551,11.6,22.3,3,0,1.5,6.84,,2021-09-11T15:00:13.691291Z,4.6,-0.25420172444289435,0.6027304947127035,0.3434147975799546,0.9176552145872025,0.49409632315319146,0.8035125856409308,1.318120791727253,-0.36961063547728645,-0.2398907455819402,1.3484802215929448,0.3545933802494328
26,Conor Coady,Defender,Wolves,429,202048,429,4.0,3.48,,626,12.8,10.5,2,0,3.5,5.28,,,4.5,1.0650088215681346,0.18061620885330146,,1.2484334702265656,0.6005958415115997,-0.2831863840511018,0.5479828010551501,-0.36961063547728645,0.8689375895523611,0.7635763847005288,0.3301681498528038
9,Lucas Digne,Defender,Everton,168,200458,168,2.0,2.76,100.0,630,16.8,32.6,2,0,2.0,3.5999999999999996,Hamstring injury - 75% chance of playing,2021-10-08T09:00:16.019188Z,5.3,0.009640384759311447,-0.13596950554125,0.3434147975799546,1.2660749771939983,0.9555942360396269,1.7520718557958403,0.5479828010551501,-0.36961063547728645,0.03731633820163513,0.13367994497023408,0.3242996567555153
33,Romain Saïss,Defender,Wolves,431,208295,431,4.0,3.24,,578,2.0,26.0,2,0,3.5,4.56,,,5.0,1.0650088215681346,0.0750876373884511,,1.0367353866173732,-0.3578998237140736,1.1442571778325001,0.5479828010551501,-0.36961063547728645,0.8689375895523611,0.49362076767325946,0.32172283732113355
110,Max Kilman,Defender,Wolves,439,245336,439,4.0,3.48,,630,0.8,20.4,2,0,3.5,5.28,,,4.5,1.0650088215681346,0.18061620885330146,,1.2660749771939983,-0.46439934207248174,0.6285356328939085,0.5479828010551501,-0.36961063547728645,0.8689375895523611,0.7635763847005288,0.32048017416197244
84,Rico Henry,Defender,Brentford,83,224494,83,2.0,4.08,100.0,614,2.2,17.9,3,0,2.5,6.359999999999999,,2021-09-18T18:00:16.393567Z,4.5,0.009640384759311447,0.44443763751542764,0.3434147975799546,1.1955089493242674,-0.34014990398767225,0.39830280033203713,1.318120791727253,-0.36961063547728645,0.31452342198521044,1.168509810241432,0.32019271814285244
6,Joel Matip,Defender,Liverpool,224,197061,224,2.0,4.44,,540,6.8,26.3,3,0,2.0,5.28,,,5.0,0.009640384759311447,0.6027304947127035,,0.8691410704267625,0.06809824971955893,1.1718851177399248,1.318120791727253,-0.36961063547728645,0.03731633820163513,0.7635763847005288,0.31934987117931374
61,Matthew Lowton,Defender,Burnley,110,199633,110,2.2,2.88,,630,3.2,28.4,1,1,2.2,4.68,,,4.4,0.11517722844019385,-0.08320521980882473,,1.2660749771939983,-0.25140030535566543,1.3652806970918965,-0.22215518961695283,1.5523646690046031,0.14819917171506536,0.5386133705111377,0.3163535285125323
76,Liam Cooper,Defender,Leeds United,184,189456,184,3.0,2.4,,630,1.0,23.8,1,1,2.5,3.7199999999999998,,,4.5,0.537324603163723,-0.29426236273852563,,1.2660749771939983,-0.4466494223460804,0.9416522851780535,-0.22215518961695283,1.5523646690046031,0.31452342198521044,0.1786725478081123,0.27339610925943875
19,Andreas Christensen,Defender,Chelsea,133,213661,133,2.8,5.28,,450,7.6,11.2,3,0,1.8,5.28,,,5.0,0.4317877594828406,0.9720804948396801,,0.4722071636595267,0.13909792862516432,-0.2187211909337779,1.318120791727253,-0.36961063547728645,-0.07356649531179497,0.7635763847005288,0.245355157236581
2,Andrew Robertson,Defender,Liverpool,234,216267,234,2.8,3.84,100.0,355,4.2,24.1,1,1,2.8,2.28,,2021-08-08T18:30:05.747237Z,7.0,0.4317877594828406,0.3389090660505771,0.3434147975799546,0.05322137318300004,-0.16265070672365867,0.9692802250854782,-0.22215518961695283,1.5523646690046031,0.4808476722553556,-0.3612386862464258,0.2445557842896266
62,Charlie Taylor,Defender,Burnley,113,204760,113,3.2,2.88,,630,0.8,26.2,1,0,3.2,4.68,,,4.4,0.6428614468446054,-0.08320521980882473,,1.2660749771939983,-0.46439934207248174,1.16267580443745,-0.22215518961695283,-0.36961063547728645,0.702613339282216,0.5386133705111377,0.22667632509241867
67,Kristoffer Ajer,Defender,Brentford,483,224258,483,1.7,4.56,,520,2.4,13.1,3,0,2.2,6.119999999999999,Hamstring injury - 75% chance of playing,2021-10-03T23:00:17.148828Z,4.5,-0.14866488076201204,0.6554947804451284,,0.780933535589599,-0.3223999842612709,-0.04374423818675568,1.318120791727253,-0.36961063547728645,0.14819917171506536,1.0785246045656756,0.22120379609681404
